model,precision,recall,f1_score,eval_time
resnet,0.6999999999999998,0.03535353535353536,0.06730769230769232,4.560920000076294
clip,0.6480000000000001,0.03272727272727274,0.06230769230769233,1.298262119293213
efficientnet,0.64,0.03232323232323233,0.06153846153846155,3.026808023452759
autoencoder,0.516,0.026060606060606065,0.04961538461538462,1.0142300128936768
siamese,0.6559999999999999,0.033131313131313136,0.06307692307692309,0.8073740005493164
triplet,0.6719999999999999,0.03393939393939394,0.06461538461538463,0.768622875213623
lsh,0.68,0.03434343434343435,0.0653846153846154,10.84020709991455
hybrid,0.74,0.03737373737373738,0.07115384615384616,4.586196184158325
